Term,key_class,values
pos-harvest time,time,"0h, 24h, 5h"
differentiation timepoint,time,"0h, 72h, 48h, 24h, t0"
time,time,"1 d, 3 d, 5 d, 24h, 0.25 d"
time after treatment,time,"1 day, 6h, 12h, 24h, 72h"
4-thiouracil labeling time,time,"1 h, fourth h post-n-addition, first h post-n-addition"
post radiation time (hour),time,"1, 12, 24, 4, 0"
time point (day),time,"1, 28, 0, 3, 4"
lps exposure time,time,"1, 3, 0, 5"
time after es/ga (days),time,"1, 7, 3, n/a"
follow up time (months),time,"1.2, 29.9, 48.7, 68.8, 51"
pfs time (years),time,"1.33881, 3.96715, 0.780287"
time_rec (years),time,"1.58, 2.08, 2.3, 0.92, 5.17"
time to outcome,time,"1.624 years, 0.035 years, 0.684 years, 2.315 years, 2.846 years"
developmental time,time,"1.75 - 2.75 hrs, 2 - 3 hrs, 0 h, 2 h, 1 h"
time (hpi),time,"10 hr, 20 hr, control, 72, 96"
time(weeks),time,10 weeks
dfs time (yrs),time,"10, 10.66666667, 10.5, 10.75, 9.91666667"
time sacrificed,time,"1130, 1505, 1230, 1439, 1105"
time to meta or recurrence,time,"1175, 446"
transfection time,time,"12 hrs, 48h, 7 hours, 12 hours, 25 hours"
time on diet,time,"12 weeks, 11 weeks"
feeding time,time,"12 weeks, 9 weeks"
circadian time (ct),time,"12, 18, 0, 6"
time in hrs,time,"12, 24, 3, 0.5, 6"
time (hrs),time,"12, 24, 8, 4, 0.5"
treatment time(minutes),time,"120, 480, 0, 20, 40"
10years followup time (months),time,"120, 51.49, 50.48, 52.51, 73.48"
time inject,time,"1230, 1110, 1100, 1130, 1200"
time post infection,time,"12h, 24h, 14 days, n/a, 3 day dpi"
stress time,time,"12h, 24h, 48h"
time of pseudo-pregnancy,time,"13 days, 15 days"
survival time (month),time,"13.86138614, 29.07590759, 16.46864686, 12.07920792, 18.15181518"
collected time,time,14 days after inoculation
time after lights on,time,"14 hr;, 6 hr;, 11 hr;, 23.75 hr;, 18 hr;"
time point (months),time,"14, 2, 0, 12, 0.5"
survival time (months),time,"14, 88, 25, 108, 19"
time after vaccination,time,"14d, 0h, 2h, 24h, 4h"
fermentation time,time,"15 hours of fermentation, 17h, 21h, 30h, 12 hours of fermentation"
time post-copulation,time,"15-minutes, 2-hours, 6-hours"
time point (minutes),time,"15, 30, 60, 5, 45"
time (post-protocol),time,"16 weeks, 4 weeks, 8 weeks, 2 weeks, baseline"
time stimulated with anti-igm,time,"16h, 8h, unstimulated, 3h"
post-infection time,time,"16hr, 1hr"
time os (months),time,"17, 35, 13, 14, 21"
time_to_dod_(months),time,"17.68767123, 55.03561644, 6.575342466, 69.50136986, 67.92328767"
hybridization time,time,"18 hours, 16 hrs, 65 hours, 140 hours, 40 hrs"
time (hours),time,"18, 24, 4, 0, 6"
timesampletaken,time,"1815, 1745, 1515, 1700, 2115"
sirna treatment time point,time,"18hr, 8hr, 4hr, 12hr"
cold ischemia time (hours),time,"19, 16, 20, 30, 24"
time of embryo collection,time,"196 hpf (hours post-in-vitro fertilization), 7 dpi (days post-in-vivo insemination), 7 dpscnt (days post-somatic cell nuclear transfer), 170 hpf (hours post-in-vitro fertilization), 180 hpf (hours post-in-vitro fertilization)"
time post mcao before sample,time,"1h, 6h"
sampling timepoint,time,"1hr after glucose ingestion, before glucose ingestion (baseline), 2hr after glucose ingesion, 8 h, 72 h"
tnfa treatment time point,time,"1hr, 2hr, 3hr, 6hr, untreatment"
time extraction,time,"2 days post graft, 7 days post graft, na"
time in continuous light,time,"2 days, 3 days, 4 hrs, 8 hrs, 12 hrs"
ex vivo challenge time,time,2 hours
time_after_resection,time,2 hours
injected timepoint,time,2-cell stage
injection timepoint,time,2-cell stage
time after infection (h),time,"2, 0, 24, 12, 6"
time (days of dss treatment),time,"2, 0, 7"
time point (hrs),time,"2, 10, 14, 18, 22"
time [hours],time,"2, 24, 12, 6, 0.5"
time point (week end),time,"2, 4, 6, 8, 20"
ischemic time (days),time,"2, 5, 1207, 1886, 9"
kcl treatment time (hours),time,"2, 6, 2001"
time (min.),time,"20, 10, 5, 40, 0"
sporulation timepoint,time,20h
time post transfection,time,"20h, 120h"
time to harvest,time,21 days
time (days),time,"21, 9, 7, 0, 14"
time sac,time,"210, 200, 100, 240, 330"
time sample taken,time,"2110, 1710, 1845, 910, 2215"
time rfs,time,"2189, 2280, 5029, 3162, 3648"
time post bloodmeal,time,22-26 hrs
harvested at what time,time,"24 h, 96 h, 192 h"
time after stimulation,time,"24 h, t30 (minutes), 0 hours, t0 (minutes)"
time post injury,time,24 hours after injury
culture time,time,"24 hours, 3 days, 32 days, 18 h, 2 days"
time post treatment,time,"24 hours, 4 hours, 2 hours, 6 hours, 0 hour"
time of exposure,time,"24 hours, 6 hours, 48 hours, 3 day, 24hrs"
time after isolation,time,"24 hr, 48 hr, 0 hr"
time point (h),time,"24, 1, 0, 8, 0.5"
time point (hr),time,"24, 1, 3, 6, 0.25"
sampling time (hours),time,"24, 336"
time recovery (hour),time,"24, 48, 72"
time [h],time,"24, 6, 2, 0, 8"
harvest time after exposure,time,"24h, 0h, 4h, 1h"
exposure time,time,"24h, 24 h, 96 hours, 24 hrs, 72h"
time point,time,"24h, 6h, 12h, 0h, 0"
treatment time-point,time,"24h, 8h, ctrl, 15h, 2h"
time post-injection,time,"24hr, 48hr"
time of harvest,time,"24hr, 6hr, 2hr"
cell collection time,time,"24hrs after last dose, control, 6hrs after last dose, 2hrs after last dose"
time exposure,time,"24hrs, 2 h, 24+8hrs, 24+6hrs, 32hrs"
treatment time (hours),time,"24hrs, 8, 6hrs, 4, control"
time point in batch cycle,time,"254 hrs after the addition of tce, 313 days after the addition of tce, 127 hrs after the addition of tce"
time period,time,"25d, 8h, 3d, 1d, 38d"
harvested time after dose,time,"26hr, 2hr"
doubling time (hrs),time,"29.5, 32.3, 35.1, 34.7, 39"
time since lif removal,time,"2d, 0d, 6d, 4d, 8d"
timepoints,time,"2h, 8h, 24h after induction of sexual development, 72h after induction of sexual development, 144h induction of sexual development"
diet intervention time,time,2wks
time post-mrsa infection,time,"3 day, 1 day"
cell sorting time,time,"3 days after transfection, 7 days after transfection"
time post-wound,time,"3 days, 10 days, 6 hrs, 12 hrs, 24 hrs"
time post-infection,time,"3 days, 2 days, 1 day, 10 days, day 1"
time post exposure,time,"3 days, 4 h, 5 days, 3 h, 24 h"
virus replication time,time,"3 hours, 7 hours, none"
induction time,time,"3 hours, 8 hours, 7 hours, 0 hours, 6 hours"
time in meiosis,time,"3 hr in meiosis, 2.5 hr in meiosis, 0 hr in meiosis, 2 hr in meiosis, 3.5 hr in meiosis"
treatment time point,time,"3 hr, 24 hr, 10 minutes, 30 minutes, 350h"
elapsed time,time,"3 hr, 6 hr, 1 hr, 15 min, 30 min"
time post-immunization,time,3 weeks
time point (days),time,"3, 28, 1, 2, 0"
timepoint (dpa),time,"3, 28, 35, 7, 21"
time after induction [days],time,"3, 6, 12, 9, n/a"
time since meiosis started,time,"3.5 hours, 5 hours"
time post transplant,time,"3.5 years, 9 years, 4 years, 3 years"
time (days post-treatment),time,"30 days, 1 day, 15 days, 7 days, 3 days"
cell harvest time,time,"30 hrs post infection, 56 hrs post infection"
post-injury time,time,"30 minutes, 3 days, 7 days, no injury"
time (min),time,"30, 0, 60, 75, 45"
infection time (min),time,"30, 120, 60, 0"
time (dpi),time,"30, 6, 15, 8, 0"
time biopsy to surgery (days),time,"31, 35, 18, 23, 42"
survival time (days),time,"3183, 3309, 1680, 1604, 5128"
time post-induction,time,"32 hours, 48 hours, 24 hours, 6h, 0h"
time_in_freezer,time,"3277, 3892, 3618, 3365, 3001"
time pfs (months),time,"35, 25, 14, 16, 12"
cultivated time,time,36h
time after plating,time,36h
post-mixing time,time,3h
time (post-treatment),time,"3h, 6h, 0h, 21h, 18h"
timepoint/developmental stage,time,"3hr after lights are on, 0hr, 4hr, 2hr"
time (post-infection),time,"4 day, 2 day, 1 day, 7 day, day 14"
stimulation time,time,"4 days, 24h, 2h, 0h, 120 minutes"
time (duration),time,4 h
time after media shift,time,"4 hours, 1 hour"
age time point,time,"4 hours, 12 hours, 2 hours, 28 hours after nutrient removal, 14h timepoint"
incubation time,time,"4 hours, 280-288 degree days post fertilisation, 24, 8 hours, 2 hours"
meiotic timepoint,time,"4 hours, 3 hours, 6 hours"
treatement time,time,"4 hours, 40 hours, 10, 0, 40"
infection time,time,"4 hours, 48h, 4h, 18h, 6hr"
time after infection,time,"4 hours, 7 days, 10 days, 14 days, 21 days"
time of euthanasia,time,"4 hr, 12 hr, 20 hr, 0 hr, 8 hr"
stimulation time and condition,time,"4 hrs bcg stimulated, 4 hrs unstimulated, 12 hrs bcg stimulated, 12 hrs unstimulated"
time after exposure,time,"4 weeks, 1 hour, 12 weeks, 3 weeks, 6 weeks"
differentiation time days,time,"4, 0"
time class,time,"4, 0, 24"
time trial,time,"4, 1, 2, 3, 0"
time (wpi),time,"4, 8, 2, 9, 10"
survival time (year),time,"4.5, 4.25, 4.58, 4.17, 4.33"
time of gut bacteria,time,"42 days prior, 1 day prior, 2 days prior, 14 days prior, 35 days prior"
time after feeding,time,42h
time (post-injection),time,"44 hours, 20 hours"
4su labeling time,time,45 min
doubling time,time,"45.5, 39, 29.5, 23.8, 32.3"
developmental time point,time,"48, 15 days of age, 6 weeks of age, gestational day 15, 19 days of age"
time_hr_post_hypoxia,time,"48, 6, 168, 1, 12"
time_point,time,"48h, 24h, early, late, 16h"
collection timepoint,time,"48hr, 10hr"
time after h2o2 treatment,time,4h
sk-mel-103 time,time,"4h, 10h"
il4 stimulation time,time,"4h, 18h, none"
recovery time,time,"4h, 28 days, 28d, 16 weeks, 0 hours"
reperfusion time,time,4hr
sample time after surgery,time,5 days
mnase digestion time,time,"5 min, 25 min"
time.to.death (years),time,"5.36, 3.93"
dmfs time,time,"5.58, 5.83, 4, na, 4.83"
survival time,time,"56, 726, 173, 302, 71"
bddm followup time (months),time,"59.9917864, 60, 39.3264887, 38.8336756, 59.5975359"
differentiation time,time,"6 days, 4 weeks, 0 days, 2 days, day 3.5"
sulfur deprivation time,time,6 hours
time post injection,time,"6 hours post infection, 10 days post infection"
sacrifice time,time,"6 hours, 1344, 1300, 1326, 1629"
growth time,time,"6 hours, 2 hours, 16 hour culture, three days, 4hr"
time point [c],time,"6 hours, 2 hours, 24 hours, 12 hours, 0 hours"
time of progression,time,"6 wks, 7 wks, 9 wks, 13 wks, 12 wks"
time(wpi),time,"6 wpi, 2 wpi, 4 wpi, 8 wpi, 10 wpi"
time after induction[days],time,"6, 0, 9, 12, 3"
time-to-progession (months),time,"6, 11, 8, 3, 10"
time (hr),time,"6, 48, 0, 30, 24"
brain ph at time of freezing,time,"6.6, 6.76, 6.3, 6.93, 6.59"
age at time of resection,time,"60y 5m, 34y 2m, 59y 7m, 73y 4m, 31y 3m"
age at time of surgery,time,"67, 76, 71, 72, 63"
culture doubling time,time,"69 hours, 4.6 hours"
time submerged,time,"6d, 1d"
treatment time,time,"6hr, 2hr, 0hr, 24h, 14 days"
time (doxorubicin),time,"6hrs, 1hrs, 9hrs, 0hrs, 3hrs"
time in entraining conditions,time,7 d
time of biopsy,time,"7 days after the putative luteinizing hormone surge, biopsy at baseline, 6 days after the putative luteinizing hormone surge, biopsy at 3 months after inclusion, 8 days after the putative luteinizing hormone surge"
time in culture,time,"7 days, 14 days, 48 hours, 6, 72"
time (incubation),time,"7 hrs, control, 24 hrs"
time of tamoxifen treatment,time,"7 months of tamoxifen treatment in vivo, 8 months of tamoxifen treatment in vivo, from, 7 to 8 months of tamoxifen treatment in vivo, 9 months of tamoxifen treatment in vivo, 10 months of tamoxifen treatment in vivo"
expression time hours,time,"7, 10"
time after lesion (days),time,"7, 3, 21, 40, 0"
metastasis time (month),time,"7.121661721, 26.50840752, 11.53972964, 27.4975272, 1.153972964"
os time,time,"7.94, 2.86, 271, 1.18, 7.43"
fu time,time,"70.08, 62.85, 6.54"
culture time (hrs),time,"72, 12, 6, 192, 0"
time after transfection (hr),time,"72, 48, 96, 24"
time since wetting,time,"73.9 hr, 35.5 hr, 11.5 hr, 9 hr, 22 hr"
time (post-inoculation),time,"78 h, 174 h, 198 h, 6 h, 102 h"
harvest time point,time,"7d post-surgery, 12, at the end of the 6 hour exposure period, 18 hours after the 6 hour exposure period on the 2nd day, at the end of the of the 2nd day 6 hour exposure period"
time post-surgery,time,"7d, 4d, 14d, 1d, 0h"
handling time,time,8 hours
cross-linking time,time,"8 min, 12 min"
timesincemating,time,"8 weeks, 1 weeks"
time after surgery,time,"8 weeks, 2 weeks, 10 weeks"
time (h) post-infection,time,"8, 1, 2, 4, 0"
fermentation time point,time,"80hr, 60hr, 102hr, 8hr, 30hr"
time [days of culture],time,"9, 0"
event time (years),time,"9.4, 9.483333333, 9.45, 14.43333333, 7.133333333"
post-treatment time,time,"90 hours, 1 week"
time after actd,time,"90 min, 45 min, 0 min"
time point after stress,time,"90 min, 7 min, 45 min"
seizure time,time,"917, 1021, 1123, 1106, 1104"
time injected,time,"931, 1017, 1355, 954, 1050"
time aed,time,"96 hrs, 60 hrs, 72 hrs"
relapse free survival time,time,"96.82 month, 36.10 month, 36.36 month"
time (after crossing),time,"96hr, 72hr, 24hr, 120hr, 144hr"
meiotic time point,time,"9h, 0h, 5h, 11h, 7h"
growth time points,time,"9h, 2h, start control, 7h"
time graft,time,"acute, delayed, na"
postnatal time-point,time,adult
donation time,time,"after brain death, after cardiac death"
time of treatment,time,"after disease establishment, zt24, zt36, 6h, time of grafting"
time of specimen collection,time,"after transplant, before transplant"
time of collection,time,"am, day 7.5 of culture (post fertilization), pm, 48 hour, day 7.0 post insemination"
sampling time,time,"at diagnosis, at remission, daytime 1200, nighttime 2400, 30 minutes after oda600 0.75"
time-point,time,"baseline, post-deployment, pre-deployment, pre-infection, post-infection"
time of growth,time,cells were grown for 72 hrs
time course,time,"constant stress, recovery, early log phase, mid log phase, 8 days"
dark timepoint,time,"control, 1 h, 2 h, 15 min, 4 h"
harvest time,time,"control, 20, 26, 14, day 3"
light timepoint,time,"control, 8 h, 30 min, 1 h, 4 h"
timecollected,time,"ct12, ct16, ct24, ct28, ct32"
sample time point,time,"ct23.5, ct11.5, ct17.5, ct0.5, ct5.5"
time point post-infection,time,d8
time (relative to induction),time,"day -2, day 0, day 9, day 7, day 3"
time-points collected,time,"day 0 (immediately after sorting), day 7"
time post vbg,time,"day 0, 4 months, 12 months"
age/disease timepoint,time,"day 100, end-stage, day 65, day 130, day 150"
time of differentiation,time,"day 12, day 8, day 4/5, 3 days, 2 days"
sampling time point,time,"day 140, day 28, day 0, day 14, week 12"
time point (visit),time,"day 2 (v1), baseline (v3), day 6 (v2)"
time after scale removal,time,"day 3, day 7"
time of transfection,time,"day 4, day 0"
time after adoptive transfer,time,"day 5, day 15, day 0"
time of death,time,"day 6 of illness, day 17 of illness"
time of sample collection,time,"day 7 post-infection, day 4 post-infection, day 2 post-infection, 48h post-infection, 12h post-infection"
time (post virus infection),time,"day 7, day 4, day 2, day1, 0h"
time p.i.,time,"day 8, day 3, day 5"
time points,time,"day7 post stimulation, day7 p.i., 24 hours, 12 hours, 48 hours"
units of treatment time,time,"days/wk, 6 hr/day, hr/day"
time of atoh1 expression,time,"e13.5, e10.5"
harvest timepoint,time,"e17.5, zt12, zt16, zt20, zt4"
relapse time,time,"early (less than 36 months), late (greater than 36 months)"
injection time,time,embryonic day 14
secondary time course,time,final 24 hours of 8 day treatment
sample time,time,"five weeks after grafting, before ebv acquisition, mid-exponential phase, following resolution of infectious mononucelosis, day 10"
infection_control time,time,for 7 days
time_hpi,time,"hour 00, hour 005, hour 045, hour 012, hour 060"
time [post-infection],time,"hour 72, hour 8, hour 24, hour 0, hour 48"
time of relapse,time,"late, very early, early"
time reference,time,"longitudinal, enrollment"
sampling time group,time,"mid, early"
sampling date and time,time,n/a
time interval fromc (months),time,n/a
time measured post wounding,time,"n/a, two hours, 30 min"
survival time (years),time,na
survival time in months,time,na
time to treatment (days),time,"na, 0, 31, 230, 1624"
timetofirstszmin,time,"na, 0, 330, 57, 115"
time post-treatment,time,"na, 1 day, 7 day, 0 day, control"
time2lr,time,"na, 2.2, 4.6, 3.1, 4.2"
overall survival time_days,time,"na, 2211, 2225"
recurrence free time (months),time,"na, 25, 32.13, 31.97, 38.3"
overall survival time,time,"na, 40, 20, 37, 36"
dfs time,time,"na, 5.58, 4, 5.83, 4.67"
dss time,time,"na, 5.58, 5, 5.83, 1.96"
time of followup (mo),time,"na, 81, 83, 71, 53"
ph<7.30 at time of diagnosis,time,"no, yes, n/a"
time to next relapse(days),time,norelapse
time to survival,time,not aplicable
time to distant metastasis,time,"not applicable, 6 months, 16 months, 19 months, 13 months"
timepoint 4h treatment,time,"not same day, same end point, same start point"
follow-up time (months),time,"ntl, 11, 14, 12, na"
time of sorting,time,on day 5 of culture
full time pregancy,time,"parous, nulliparous"
training timepoint,time,"post, pre"
time of surgery,time,"post;, pre;"
time post-vaccination,time,"pre-challenge, 51-53 hours, 76-78 hours, 4-6 hours, 26-28 hours"
sample collection time,time,"pre-treatment, post-treatment, follow up, 8 months post-vaccination (pre-siv challenge), 10 days post-siv challenge"
timepoint,time,"prior to artemisinin combination therapy (act), pre-treatment, 24h, 2h, baseline"
time of sample harvesting,time,"reperfusion, normoxia, ischemia"
time point after hepatectomy,time,"s48h, 2h, 48h, 0h, 6h"
hatching time,time,"sept, dec"
nitrogen starvation time,time,"st2d, st10d, t0, st10d+1h"
explant timepoint,time,stage 9/10
partial hepatectomy time point,time,"t=0, t=1h, t=6h, t=12h, t=24h"
timepoint (hrs),time,"t=42, t=18, t=0, 3"
biopsy time,time,"t1, 3month, 0month, ts, t2"
time point (min),time,"t60, t90, t390, t210"
time of sampling,time,"taken relapse after treatment, taken at diagnosis, diagnosis, relapse"
time and stimulation,time,"tref, t1sa, t1sp, t5sa, t5sp"
time clin rec,time,"unknown, 0, 16, 151, 18"
time met rec,time,"unknown, 0, 16, 55, 151"
time bcr,time,"unknown, 0, 2, 16, 17"
time clinical recurrence,time,"unknown, 0, n/a, 55.06849315, 12"
time metastatic recurrence,time,"unknown, 0, n/a, 55.06849315, 81.10684932"
time no bcr,time,"unknown, 16, 17, 2, n/a"
time f/u,time,"unknown, 164, 12, 16, 65"
drug treatment time point,time,"untreated, 4hr, 6hr, 8hr, 2hr"
agent time,time,"weaning - 8 weeks, 10 hr, 6 hr, 16 hr, 3 hr"
units of harvest time point,time,"week, weeks, hr, days, h past seeding"
timeunit,time,years
time (of harvest),time,zt1
time of day,time,"zt10, zt6, leaves collected in the hour before lights were turned on (pre-dawn), leaves collected in the hour in the middle of the photoperiod (pm), leaves collected in the hour before lights were turned on (am)"
time of cacrifice,time,zt12 on 3.5 days post copulation
circadian time,time,"zt14, 4, 8, 16, 20"
time of sacrifice,time,"zt14, zt16, zt18, zt20, zt10"
age at the time of surgery,time,
circadian time point,time,
cold ischemia time,time,
conjugation time,time,
continuous light time,time,
drug treatment time,time,
os time (years),time,
split ratio time 1,time,
time (months) overall survival,time,
time after inoculation,time,
time at 4__c,time,
time fter actd,time,
time of hcmv infection,time,
time of treatment with fk866,time,
time point (post-inoculation),time,
time post-dox,time,
time post-inoculation,time,
time sampled,time,
time to death (mos),time,
time to outcomel,time,
time_to_death (yr),time,
time_to_progression,time,
time_to_relapse (yr),time,
tissue harvest,tissue,", 9/24/03. 9/17/03, embryonic day 6 (h&h stage 26 -28)"
tissue collection time,tissue,"0 h (control), 18 h post pgf2_ administration, 6 h post pgf2_ administration, 3 h post pgf2_ administration"
number of pooled tissues,tissue,"1, 4, 2003"
age and tissue,tissue,10 days-old seedlings.
day of tissue dissection,tissue,"10, 15, 12, 18"
age of ffpe tissue,tissue,"11, 10, 12, 21, 34"
tissue_mg,tissue,"31, 33, 26"
tissue/treatment id,tissue,"4, 2, 3, 1, 7"
tissue ph,tissue,"6.46, 6.43, 6.28, 6.38, 6.06"
tissue diagnosis,tissue,"adenocarcinoma, carcinoma large cell, carcinoma squamous cell, carcinoma non-small cell"
tissue derivation,tissue,"adenoid cystic carinoma of the parotid gland, pancreatic tumor, tongue, breast cancer, hodgkin lymphoma"
original tissue,tissue,"adult dermal fidroblast, breast, peripheral blood"
fetal vs adult tissue,tissue,"adult, fetal"
tissue provider,tissue,"alberta-pacific, alberta, canada, agriculture and agri-food canada, prairie farm, rehabilitation administration (aafc-pfra), shelterbelt centre, indian head, sk, alberta- pacific forest industries inc., al-pac, grasslands, ab, l.a. quality products ltd., portage la prairie, mb"
tissue preserve method,tissue,"allprotect, frozen, n/a, rnalater"
tissue/source,tissue,"amniotic fluid, blastocyst-derived embryonic stem cells"
tissue/tumor subtype,tissue,"basal-like adjacent tissue, basal-like tumor, erbb2+ adjacent tissue, luminal b adjacent tissue, luminal b tumor"
tissuer type,tissue,"benign, tumor"
sample tissue type,tissue,"blood, skin"
tissue-cy5,tissue,bovine reference rna
origin tissue,tissue,"breast epithelial, peripheral lymph nodes and spleen, breast cancer, lymph node, porcine kidney"
tissue-type,tissue,"breast epithlieum, lung, articular cartilage, cholangiocarcinoma, growth plate cartilage"
tissue origin of cancer cell,tissue,"breast, cervix"
tissue preparation,tissue,"bulk, microscope dissected, antibody purified, cell line, laser capture microdissected"
tissue collection,tissue,"bulk, whole blood drawn in edta tubes, day 7, on day 15, the mice were sacrificed and half of the, cerebellum was harvested for purification of mitochondria, with the left half snap-frozen, homogenized, and aliquoted for western blotting, microarray, and detection of atp and nad+., embryos dissected from fully-developed green seeds"
# of tissue = 36 tissue,tissue,carotid body
# of tissue = 40 tissue,tissue,carotid body
# of tissue = 42 tissue,tissue,carotid body
# of tissue = 38 tissue,tissue,carotid body
tumor tissue source,tissue,"cell line established, cell line1st deg. Culture"
original tissue source,tissue,colon
tissue treatment,tissue,"control luteal day 10, hcg (simulated early pregnancy) luteal day 15, hcg (simulated early pregnancy) luteal day 10, hcg (simulated early pregnancy) luteal day 15+trl+r5020, hcg (simulated early pregnancy) luteal day 10+trl+r5020"
source tissue,tissue,"cutaneous metastasis of melanoma, cerebellum, frontal cortex, superior temporal gyrus, entorhinal cortex"
source tissue,tissue,"cutaneous metastasis of melanoma, cerebellum, frontal cortex, superior temporal gyrus, entorhinal cortex"
gingival tissue phenotype,tissue,"diseased (bop + interproximal ppd of>3 mm + concomitant cal of>2 mm), healthy (no bop + ppd of<5 mm + cal of<3 2 mm"
tissue-cy3,tissue,"distal ileum, inoculated with bmel"
tissue/development stage,tissue,"e4-8, adultmale, adultfemale, l3, e12-16"
cell line tissue source,tissue,"embyronic hypothalamus, adult hypothalamus"
tissue_biological,tissue,"epithelial, endothelial"
tissue compartment,tissue,"epithelium, stroma, epithelial, stromal"
source tissue type,tissue,ex vivo e__-myc lymphoma
tissue/developmental stage,tissue,"explant tissue subjected to se induction, the advanced phase of embryogenesis related to somatic embryo formation, freshly isolated explants competent to undergo embryogenic transition"
pig tissue,tissue,"fetal placenta, spleen"
tissue_type,tissue,"ffpe tissue sample, smooth muscle, fetal lung, mucosa, fetal intestine, large"
tissue archive method,tissue,"ffpe, fresh, fresh frozen"
tissue status,tissue,"ffpe, freshly resected tissue sample, involved, juvenile, mature"
harvested tissue type,tissue,fiber
tissue & age,tissue,"fiber 2 dpa, fiber 10 dpa, fiber 20 dpa, npcs of neocortex from 3 littermates wild-type mouse embryos at e14, npcs of neocortex from 3 littermates ts1cje mouse embryos at e14"
thyroid tissue type,tissue,"follicular thyroid carcinoma, follicular thyroid adenoma"
tissue processing,tissue,"formalin-fixed paraffin-embedded (ffpe), frozen"
tissue archive,tissue,fresh frozen
tissue state,tissue,"fresh frozen tissue, basal state, ffpe, ovarian cancer tissue after treatment, ovarian cancer tissue before treatment"
tissue (brain region),tissue,"frontal cortex, temporal cortex, cerebellum"
tissue storage,tissue,"frozen, ffpe"
tissue preservation,tissue,"frozen, fixed"
tissue subregion,tissue,"glomerulus, tubules, tubulus"
tissue (group),tissue,"gonadotrope tumor, normal pituitary"
tissue sample,tissue,"hcv positive, hcv negative"
tissue age,tissue,"heads after mid-anthesis, five weeks after grafting seven day-old seedlings"
tissue histology,tissue,"idc-nst, grade 3, na"
tissue_grade,tissue,"iii, iv, ii,v"
tissue and developmental stage,tissue,immature seed coats dissected from seeds of 50-75 mg fresh weight
tissue grade,tissue,"iv, iii, ii, v"
landrace tissue,tissue,jejunum
tissue/cell,tissue,"kidney, testis, cerebellum, heart, brain"
tissue harvested,tissue,"leaf, root, tramp-c2re3 prostate orthotopic tumors, ts/a tumors 21 days after tumor challenge"
a.thaliana tissue,tissue,leaves
cell tissue,tissue,liver
tissue,tissue,"liver, blood, whole blood, peripheral blood, lung"
tissue derived,tissue,"liver, skin, peripheral blood"
tissue enriched for,tissue,"ls1-np-ncr, ls1-np-t, ls1-np-cr"
# of tissue = 1 tissue,tissue,"lung, liver"
tissue_surgery,tissue,"lymph_node, liver"
tissue origination,tissue,"mammary gland, breast"
tissue-of-origin,tissue,"melanoma, colon, renal, non-small cell lung, ovarian"
tissues,tissue,"microdissected dental tissues from lower incisors, spleen and head kidney, spleen, normal spleen, cultured callus"
tissue stage,tissue,"mid-late/late luteal phase, fresh frozen tissue, basal state, ffpe, ovarian cancer tissue after treatment"
tissue part,tissue,middle region
tissue morphology,tissue,"mucosa, colonic crypt epithelial cells"
tissue/cell line [c],tissue,"myometrium, mda-mb231 cells, prostate gland, endometrium, endometrium/ovary"
tissue_code,tissue,"na, f, a h, e"
tissue type,tissue,"neuronal, tumor, breast cancer cell line, bone marrow, normal"
somatic tissue,tissue,"no, yes"
tumor tissue,tissue,"no, yes, pcc, primary tumor, high grade glioblastoma, low grade anaplastic mixed glioma"
tissue harvest site,tissue,"none, metastatic site, lymph node, leaf, root"
tissue/origin,tissue,"normal prostate, prostate cancer, normal urinary bladder"
tissue typ,tissue,"normal skin, b16-ova grown in cell culture, normal skin inflamed by treatment with oxazolone, b16-ova melanoma tissue from 6 day tumors, b16-ova melanoma tissue from 11 day tumors"
connective tissue type,tissue,"normal, trabecular, papillary"
tissuetype,tissue,"normal, tumor, resistanttumor"
brain tissue,tissue,"ob, dp, white matter, cortex"
tissue or cell type,tissue,"oocyte, embryo, embryoid body, liver, embryonics stem cell"
primary tissue,tissue,"ovary, colon, blood, fat, muscle"
tissue (donor),tissue,"p53null mammary fragments, trp53-null mammary fragments"
tissue source,tissue,"peripheral blood, nci-edrn, r lower, liver, kidney"
cell line source tissue,tissue,"peripheral blood, primary human hypopharyngeal squamous cell carcinoma"
tissue of origin,tissue,"pineal gland, melanoma, onl of both obs, non-small cell lung, renal"
tissue (pup),tissue,"pituitary, hypothalamus"
tissue id,tissue,"placenta 3.1, placenta 1.1, placenta 3.2, placenta 1.2, placenta 1.3"
tissue region,tissue,"posterior right site of the cerebrum, layer 3, layer 6, layer 2, layer 5"
tissue subtype,tissue,"primary hepatocellular carcinoma, non-tumor cirrhosis, micro-dissected for >80% tumor cell content, micro-dissected for >80% non-malignant cell content, tumor (t)"
donor tissue,tissue,"primary human breast cancer, caucasion male foreskin"
tissue site,tissue,"prostate, lymph node, bone, liver, ge junction"
tissue/sector,tissue,"purple, red"
tissue section,tissue,"region 3, region 2, region 4, region 1, region 5"
tissue condition,tissue,"resting (uninjured) muscle, 48h after barium chloride-induced muscle injury, 12h after barium chloride-induced muscle injury"
tissue location,tissue,"right, tongue, left, unknown, internode"
tissue collection method,tissue,"rnalater, snap frozen, dnagard, laser capture microdissection"
8 weeks. tissue,tissue,scraped off oxyntic mucosa.
tissue lineage,tissue,"skin, blood"
tissue.origin,tissue,"skin, lung"
